Geoname ID;Name;Country name EN;Population;Timezone;Coordinates
1796236;Shanghai;China;22315474;Asia/Shanghai;31.22222,121.45806
1816670;Beijing;China;18960744;Asia/Shanghai;39.9075,116.39723
1795565;Shenzhen;China;17494398;Asia/Shanghai;22.54554,114.0683
1809858;Guangzhou;China;16096724;Asia/Shanghai;23.11667,113.25
2332459;Lagos;Nigeria;15388000;Africa/Lagos;6.45407,3.39467
745044;Istanbul;Turkey;14804116;Europe/Istanbul;41.01384,28.94966
1815286;Chengdu;China;13568357;Asia/Shanghai;30.66667,104.06667
3435910;Buenos Aires;Argentina;13076300;America/Argentina/Buenos_Aires;-34.61315,-58.37723
1275339;Mumbai;India;12691836;Asia/Kolkata;19.07283,72.88261
3530597;Mexico City;Mexico;12294193;America/Mexico_City;19.42847,-99.12766
1174872;Karachi;Pakistan;11624219;Asia/Karachi;24.8608,67.0104
1792947;Tianjin;China;11090314;Asia/Shanghai;39.14222,117.17667
1273294;Delhi;India;10927986;Asia/Kolkata;28.65195,77.23149
1791247;Wuhan;China;10392693;Asia/Shanghai;30.58333,114.26667
524901;Moscow;Russian Federation;10381222;Europe/Moscow;55.75222,37.61556
